"","countries","count_paper","count_patent","pap_log","pat_log"
"1","Afghanistan",8,0,2.19722457733622,0
"2","Albania",9,0,2.30258509299405,0
"3","Algeria",82,0,4.4188406077966,0
"4","Andorra",2,0,1.09861228866811,0
"5","Angola",2,0,1.09861228866811,0
"6","Anguilla",1,0,0.693147180559945,0
"7","Argentina",2166,18,7.68109900153636,2.94443897916644
"8","Armenia",46,0,3.85014760171006,0
"9","Aruba",1,0,0.693147180559945,0
"10","Australia",12116,441,9.40236470423152,6.0913098820777
"11","Austria",4379,187,8.38480400337049,5.23644196282995
"12","Azerbaijan",10,0,2.39789527279837,0
"13","Bahrain",30,0,3.43398720448515,0
"14","Bangladesh",296,1,5.6937321388027,0.693147180559945
"15","Barbados",4,0,1.6094379124341,0
"16","Belarus",60,1,4.11087386417331,0.693147180559945
"17","Belgium",5442,360,8.6020856584342,5.88887795833288
"18","Benin",22,0,3.13549421592915,0
"19","Bermuda",2,0,1.09861228866811,0
"20","Bhutan",1,0,0.693147180559945,0
"21","Bolivia",15,0,2.77258872223978,0
"22","Bosnia and Herzegovina",24,0,3.2188758248682,0
"23","Botswana",6,0,1.94591014905531,0
"24","Brazil",6585,28,8.79270146293631,3.36729582998647
"25","Brunei Darussalam",5,0,1.79175946922805,0
"26","Bulgaria",240,4,5.48479693349065,1.6094379124341
"27","Burkina Faso",20,0,3.04452243772342,0
"28","Cambodia",8,0,2.19722457733622,0
"29","Cameroon",43,0,3.78418963391826,0
"30","Canada",23064,923,10.0460715959919,6.82871207164168
"31","Cayman Islands",2,0,1.09861228866811,0
"32","Central African Republic",4,0,1.6094379124341,0
"33","Chile",1375,19,7.22693601849329,2.99573227355399
"34","China",132856,399,11.7970286408047,5.99146454710798
"35","Colombia",370,3,5.91620206260743,1.38629436111989
"36","Congo",6,0,1.94591014905531,0
"37","Costa Rica",46,1,3.85014760171006,0.693147180559945
"38","Cote d'Ivoire",10,0,2.39789527279837,0
"39","Côte d’Ivoire",0,1,0,0.693147180559945
"40","Croatia",402,1,5.99893656194668,0.693147180559945
"41","Cuba",114,5,4.74493212836325,1.79175946922805
"42","Curaçao",1,0,0.693147180559945,0
"43","Cyprus",107,2,4.68213122712422,1.09861228866811
"44","Czech Republic",2150,0,7.67368812926773,0
"45","Czechia",0,7,0,2.07944154167984
"46","Czechoslovakia",1,0,0.693147180559945,0
"47","Democratic Republic Congo",4,0,1.6094379124341,0
"48","Denmark",5320,286,8.57941653459637,5.65948221575962
"49","Dominica",1,0,0.693147180559945,0
"50","Dominican Republic",7,1,2.07944154167984,0.693147180559945
"51","Ecuador",50,0,3.93182563272433,0
"52","Egypt",2609,6,7.86710550031674,1.94591014905531
"53","El Salvador",5,0,1.79175946922805,0
"54","Eritrea",3,0,1.38629436111989,0
"55","Estonia",320,12,5.77144112313002,2.56494935746154
"56","Ethiopia",65,0,4.18965474202643,0
"57","Faroe Islands",1,0,0.693147180559945,0
"58","Fiji",4,0,1.6094379124341,0
"59","Finland",4420,95,8.39412119382624,4.56434819146784
"60","France",23511,955,10.0652662080988,6.8627579130514
"61","French Guiana",10,0,2.39789527279837,0
"62","French Polynesia",13,0,2.63905732961526,0
"63","Gabon",15,1,2.77258872223978,0.693147180559945
"64","Gambia",18,0,2.94443897916644,0
"65","Georgia",35,1,3.58351893845611,0.693147180559945
"66","Germany",38562,2093,10.560048546528,7.64683139143048
"67","Germany (Democratic Republic, DDR)",1,0,0.693147180559945,0
"68","Ghana",62,1,4.14313472639153,0.693147180559945
"69","Greece",2148,12,7.67275789664251,2.56494935746154
"70","Greenland",4,0,1.6094379124341,0
"71","Grenada",9,0,2.30258509299405,0
"72","Guadeloupe",8,0,2.19722457733622,0
"73","Guatemala",12,0,2.56494935746154,0
"74","Guinea",6,0,1.94591014905531,0
"75","Guinea-Bissau",1,0,0.693147180559945,0
"76","Guyana",3,0,1.38629436111989,0
"77","Haiti",1,0,0.693147180559945,0
"78","Honduras",5,0,1.79175946922805,0
"79","Hong Kong",2865,0,7.96067260838812,0
"80","Hong Kong SAR China",0,43,0,3.78418963391826
"81","Hungary",2101,17,7.6506445514369,2.89037175789616
"82","Iceland",116,6,4.76217393479776,1.94591014905531
"83","India",6976,125,8.85037430393924,4.83628190695148
"84","Indonesia",617,2,6.42648845745769,1.09861228866811
"85","Iran",4493,11,8.41049845274527,2.484906649788
"86","Iraq",180,0,5.19849703126583,0
"87","Ireland",1797,46,7.49443021503157,3.85014760171006
"88","Israel",5072,398,8.53168763756669,5.98896141688986
"89","Italy",17519,236,9.77109836449038,5.46806014113513
"90","Jamaica",13,1,2.63905732961526,0.693147180559945
"91","Japan",64272,1516,11.0708949153528,7.32448997934853
"92","Jordan",155,0,5.04985600724954,0
"93","Kazakhstan",65,1,4.18965474202643,0.693147180559945
